Year,Month,periodLabel,unemp_rate,labor_force_part_rate,total_jobs,embX,embY
2018,3,2018-03,0.031,0.639,369308,0.5334511246043174,-0.8964524787789043
2018,4,2018-04,0.028,0.645,373932,1.0479543811522467,-0.748118284446643
2018,5,2018-05,0.031,0.651,376517,1.2375037791182926,-0.26870313506967825
2018,6,2018-06,0.039,0.663,380575,1.495196587588384,0.8007892505747131
2018,7,2018-07,0.038,0.67,384241,1.9334404406122954,1.1124098084779495
2018,8,2018-08,0.034,0.665,383347,1.8794384505633726,0.6296031546186305
2018,9,2018-09,0.03,0.656,379748,1.5816097910332996,-0.06224248456402305
2018,10,2018-10,0.027,0.659,382442,1.916232505956609,-0.07075645669583888
2018,11,2018-11,0.024,0.658,383224,2.0310350543414546,-0.28886292792273804
2018,12,2018-12,0.023,0.664,383962,2.340154972654355,-0.027930395498460762
2019,1,2019-01,0.03,0.667,385880,2.2125738663809194,0.5135268361990207
2019,2,2019-02,0.025,0.667,387709,2.4872991953152455,0.23753541669913808
2019,3,2019-03,0.025,0.668,388432,2.549671126257501,0.28976253154342785
2019,4,2019-04,0.022,0.665,387742,2.538942714300698,-0.0327800213795344
2019,5,2019-05,0.029,0.668,386895,2.3276567144124742,0.5106071795220922
2019,6,2019-06,0.031,0.675,390540,2.6336512462012727,0.9870712622350801
2019,7,2019-07,0.028,0.674,390678,2.7289579712631795,0.7694143028228175
2019,8,2019-08,0.027,0.676,392536,2.9100455123468536,0.8186380010247177
2019,9,2019-09,0.028,0.665,385445,2.206178417182606,0.2984810175909087
2019,10,2019-10,0.023,0.671,390983,2.83609360371126,0.3362913289757173
2019,11,2019-11,0.021,0.67,391531,2.899941070026575,0.17329114528673129
2019,12,2019-12,0.02,0.67,392118,2.9615825273026224,0.11793846385042303
