Year,Month,periodLabel,unemp_rate,labor_force_part_rate,embX,embY
2015,4,2015-04,0.041,0.633,-0.2027016678553331,-0.16322575193137853
2015,5,2015-05,0.046,0.634,-0.2537685127428131,-0.07495244139394588
2015,6,2015-06,0.05,0.644,-0.1565159382006012,0.11725041171940215
2015,7,2015-07,0.049,0.645,-0.1282887365554264,0.11545455891844712
2015,8,2015-08,0.044,0.643,-0.09223341889101208,0.013965573958904506
2015,9,2015-09,0.044,0.634,-0.2273371638985953,-0.10497549584007557
2015,10,2015-10,0.04,0.639,-0.09941683009483587,-0.09894323262179039
2015,11,2015-11,0.039,0.642,-0.0411665740035321,-0.07430773657852814
2015,12,2015-12,0.037,0.639,-0.05976980682850908,-0.1439778142909849
2016,1,2016-01,0.041,0.632,-0.21771319507839895,-0.17644142635348833
2016,2,2016-02,0.038,0.633,-0.16305464458900637,-0.20826033360057306
2016,3,2016-03,0.037,0.633,-0.14983897016689737,-0.22327186082363784
2016,4,2016-04,0.034,0.633,-0.11019194690057073,-0.2683064424928323
2016,5,2016-05,0.035,0.634,-0.10839609409961515,-0.24007924084765883
2016,6,2016-06,0.04,0.644,-0.02435919397951202,-0.03286486051124603
2016,7,2016-07,0.038,0.645,0.01708368208777167,-0.049672240535265894
2016,8,2016-08,0.033,0.643,0.0531389997521859,-0.15116122549480843
2016,9,2016-09,0.032,0.634,-0.06874907083328836,-0.28511382251685335
2016,10,2016-10,0.027,0.639,0.07238693739258008,-0.2940930865216331
2016,11,2016-11,0.026,0.642,0.1306371934838839,-0.2694575904783708
2016,12,2016-12,0.025,0.639,0.09881828623679792,-0.32411614096776276
2017,1,2017-01,0.034,0.639,-0.020122783562182382,-0.18901239596017932
2017,2,2017-02,0.034,0.645,0.0699463797762073,-0.10971834942752515
2017,3,2017-03,0.032,0.652,0.20145841918187798,-0.04723168291889321
2017,4,2017-04,0.034,0.654,0.20505012478379045,0.009222720371454905
2017,5,2017-05,0.039,0.654,0.1389717526732459,0.084280356486779
2017,6,2017-06,0.043,0.662,0.20620127276932898,0.25005186075590957
2017,7,2017-07,0.042,0.663,0.2344284744145023,0.24825600795495356
2017,8,2017-08,0.036,0.657,0.2236533576087662,0.07889279808391038
2017,9,2017-09,0.034,0.648,0.1149809614454008,-0.07007132616119925
2017,10,2017-10,0.031,0.645,0.1095934030425341,-0.15475293109671967
2017,11,2017-11,0.03,0.645,0.12280907746464297,-0.1697644583197845
2017,12,2017-12,0.027,0.647,0.19247915517709877,-0.18836769114476162
2018,1,2018-01,0.033,0.626,-0.2020569630399159,-0.37582769067065985
2018,2,2018-02,0.032,0.634,-0.06874907083328836,-0.28511382251685335
2018,3,2018-03,0.031,0.639,0.01952423970414444,-0.23404697762937382
2018,4,2018-04,0.028,0.645,0.1492404263088608,-0.19978751276591408
2018,5,2018-05,0.031,0.651,0.19966256638092245,-0.0754588845640667
2018,6,2018-06,0.039,0.663,0.27407549768082906,0.20322142628575907
2018,7,2018-07,0.038,0.67,0.39237186266439217,0.280719620017457
2018,8,2018-08,0.034,0.665,0.3701769242375026,0.15459513901465222
2018,9,2018-09,0.03,0.656,0.28793587691835515,-0.02439203967658716
2018,10,2018-10,0.027,0.659,0.3726174818538767,-0.029779598079454506
2018,11,2018-11,0.024,0.658,0.39725297789713904,-0.08802985417075766
2018,12,2018-12,0.023,0.664,0.5005378156576363,-0.023747334861169516
2019,1,2019-01,0.03,0.667,0.45306267637206865,0.12098037896661136
2019,2,2019-02,0.025,0.667,0.5191410484826132,0.045922742851287245
2019,3,2019-03,0.025,0.668,0.5341525757056778,0.059138417273395895
2019,4,2019-04,0.022,0.665,0.5287650173028098,-0.025543187662125703
2019,5,2019-05,0.029,0.668,0.4812898780172421,0.11918452616565524
2019,6,2019-06,0.031,0.675,0.5599392197344784,0.24171730156654747
2019,7,2019-07,0.028,0.674,0.5845747157777406,0.18346704547524453
2019,8,2019-08,0.027,0.676,0.6278134446459785,0.1948868670963969
2019,9,2019-09,0.028,0.665,0.4494709707701561,0.06452597567626328
2019,10,2019-10,0.023,0.671,0.6056185062190904,0.06876238609359328
2019,11,2019-11,0.021,0.67,0.6170383278402438,0.025523657225355045
2019,12,2019-12,0.02,0.67,0.6302540022623526,0.010512130002290251
